"","RequestType","total.income","race","count"
"624","Homeless Encampment",16537,"Hispanic",235
"625","Homeless Encampment",16659,"Hispanic",101
"626","Homeless Encampment",16956,"White",33
"627","Homeless Encampment",16970,"Hispanic",16
"628","Homeless Encampment",17163,"Hispanic",283
"629","Homeless Encampment",17239,"Hispanic",183
"630","Homeless Encampment",17269,"White",38
"631","Homeless Encampment",17312,"Hispanic",106
"632","Homeless Encampment",18407,"Hispanic",320
"633","Homeless Encampment",18537,"Hispanic",381
"634","Homeless Encampment",18783,"Hispanic",104
"635","Homeless Encampment",18932,"Hispanic",197
"636","Homeless Encampment",19067,"Hispanic",187
"637","Homeless Encampment",19103,"Hispanic",218
"638","Homeless Encampment",19309,"Hispanic",113
"639","Homeless Encampment",20122,"Hispanic",158
"640","Homeless Encampment",20135,"Hispanic",250
